pl_name,hostname,discoverymethod,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_insol,st_mass,st_teff,st_rad,st_met,sy_dist
Kepler-1597 b,Kepler-1597,Transit,Kepler,1.06,0.47,-0.17,2.94654179,1431.311,1.25,6377.0,1.39,0.02,1221.05
Kepler-687 b,Kepler-687,Transit,Kepler,3.52,0.16,-0.2,20.50586978,15.648,0.77,4841.0,0.73,-0.04,633.66
Kepler-1596 b,Kepler-1596,Transit,Kepler,1.9,0.25,-0.17,66.373379,33.378,0.95,5706.0,0.92,-0.11,2146.23
Kepler-692 b,Kepler-692,Transit,Kepler,3.11,0.37,-0.23,21.81293494,28.504,0.9,5440.0,0.86,-0.01,991.336
Kepler-150 c,Kepler-150,Transit,Kepler,3.69,0.59,-0.59,7.381998,132.091,0.956,5560.0,0.939,0.12,891.092
Kepler-1494 b,Kepler-1494,Transit,Kepler,3.07,0.46,-0.57,91.080482,9.113,0.96,5659.0,0.94,0.01,1285.48
Kepler-1502 b,Kepler-1502,Transit,Kepler,3.18,1.12,-0.64,41.7083629,77.324,1.44,6666.0,1.72,0.05,1514.02
Kepler-1490 b,Kepler-1490,Transit,Kepler,3.04,0.37,-0.63,92.4362973,3.788,0.9,5515.0,0.87,-0.08,862.92
Kepler-1491 b,Kepler-1491,Transit,Kepler,1.51,0.35,-0.14,16.5861762,138.108,1.0,5728.0,0.99,0.06,2065.59
Kepler-171 b,Kepler-171,Transit,Kepler,2.34,1.05,-1.05,4.166972,304.178,0.978,5642.0,0.839,0.17,863.855
Kepler-1926 b,Kepler-1926,Transit,Kepler,2.31495961,,,42.87770081,9.8,0.768,5256.0,0.832,-0.16,667.405
Kepler-1631 b,Kepler-1631,Transit,Kepler,1.35,0.2,-0.15,4.09513932,446.918,0.97,5679.0,0.95,0.04,1305.99
KOI-1599.02,KOI-1599,Transit,Kepler,1.9,0.2,-0.2,13.6088,76.81,1.02,5833.0,0.972,0.06,1131.64
Kepler-719 b,Kepler-719,Transit,Kepler,8.52,1.83,-0.9,5.007317779,234.28,0.99,5777.0,0.98,-0.02,2497.51
Kepler-734 b,Kepler-734,Transit,Kepler,3.56,0.14,-0.13,6.104852856,89.25,0.85,5326.0,0.78,-0.17,1157.21
Kepler-1408 b,Kepler-1408,Transit,Kepler,0.89,68.91,-0.15,2.99793191,1982.268,1.21,6170.0,1.35,0.0,535.048
Kepler-1427 b,Kepler-1427,Transit,Kepler,1.1,0.24,-0.12,0.968972376,2730.51,1.01,5793.0,1.01,0.06,1220.0
Kepler-1665 b,Kepler-1665,Transit,Kepler,2.83910787,,,11.9548,40.4,0.842,5049.84,0.777785,-0.013,335.515
Kepler-342 e,Kepler-342,Transit,Kepler,0.88,0.08,-0.06,1.644224613,3111.322,1.26,6366.0,1.34,0.12,781.611
Kepler-267 b,Kepler-267,Transit,Kepler,1.98,0.09,-0.09,3.353728,45.843,0.541571,4258.0,0.555,-0.18,264.993
Kepler-1738 b,Kepler-1738,Transit,Kepler,2.82472883,,,7.674630165,198.67,1.079,6063.0,1.001,-0.02,1302.87
Kepler-746 b,Kepler-746,Transit,Kepler,1.11,0.13,-0.09,3.48159251,421.61,0.91,5418.0,0.93,0.09,450.0
Kepler-760 b,Kepler-760,Transit,Kepler,3.06,0.26,-0.24,8.70419416,84.406,0.89,5322.0,0.85,0.08,792.336
Kepler-272 c,Kepler-272,Transit,Kepler,1.79,0.96,-0.96,6.057342,310.76,0.91,5297.0,0.929,0.04,889.608
Kepler-775 b,Kepler-775,Transit,Kepler,1.19,0.04,-0.04,0.974868926,1496.75,0.92,5468.0,0.84,-0.04,398.676
Kepler-498 b,Kepler-498,Transit,Kepler,3.03,0.5,-0.34,9.61375356,202.775,0.98,5744.0,0.96,-0.04,938.844
Kepler-877 b,Kepler-877,Transit,Kepler,2.12,0.14,-0.27,18.45847097,37.81,0.85,5261.0,0.81,-0.06,602.176
Kepler-865 b,Kepler-865,Transit,Kepler,2.49,0.49,-0.24,14.16399294,46.362,0.93,5570.0,0.92,-0.01,586.137
Kepler-288 c,Kepler-288,Transit,Kepler,2.85,1.36,-1.36,19.305772,53.148,0.842,5918.0,1.091,-0.24,1194.15
Kepler-794 b,Kepler-794,Transit,Kepler,2.11,0.52,-0.34,11.13125132,299.97,1.19,5839.0,1.38,0.34,931.192
Kepler-485 b,Kepler-485,Transit,Kepler,14.41,3.38,-1.63,3.243259796,622.014,1.07,5958.0,1.09,0.04,1140.95
Kepler-340 c,Kepler-340,Transit,Kepler,3.37,0.77,-0.77,22.824669,154.653,1.65,6620.0,1.85,0.06,808.762
Kepler-333 b,Kepler-333,Transit,Kepler,1.32,0.16,-0.16,12.551158,16.819,0.601,4259.0,0.534,0.0465,324.413
Kepler-951 b,Kepler-951,Transit,Kepler,5.59,0.24,-0.26,71.52530845,2.472,0.77,4834.0,0.73,-0.01,382.509
Kepler-66 b,Kepler-66,Transit,Kepler,2.8,0.16,-0.16,17.815815,62.845,1.038,5962.0,0.966,-0.2,1202.96
Kepler-1805 b,Kepler-1805,Transit,Kepler,1.54502915,,,8.847940445,12.48,0.581,3867.0,0.552,0.1,221.639
Kepler-1792 b,Kepler-1792,Transit,Kepler,2.51990972,,,4.1957798,283.78,0.878,5229.0,1.005,0.32,601.029
Kepler-276 d,Kepler-276,Transit,Kepler,2.8,1.23,-0.27,48.648,11.274,1.1,5693.0,1.03,-0.29,1144.86
Kepler-372 c,Kepler-372,Transit,Kepler,2.09,0.9,-0.9,20.053763,91.881,1.202,6509.0,1.137,-0.13,1493.95
Kepler-114 b,Kepler-114,Transit,Kepler,1.26,0.13,-0.13,5.188549,92.535,0.77,4605.0,0.667,0.2291,259.533
Kepler-1207 b,Kepler-1207,Transit,Kepler,1.62,0.51,-0.18,13.68237119,352.508,1.06,5909.0,1.06,0.05,1754.19
Kepler-1249 b,Kepler-1249,Transit,Kepler,2.38,0.97,-0.38,24.3347127,98.336,1.19,6202.0,1.28,0.06,1904.54
Kepler-1859 b,Kepler-1859,Transit,Kepler,1.58313575,,,2.729599953,1056.15,1.09,5887.0,1.235,0.16,1331.25
Kepler-1244 b,Kepler-1244,Transit,Kepler,1.35,0.63,-0.25,3.70428172,4756.325,1.46,6680.0,1.77,0.05,1075.81
Kepler-213 c,Kepler-213,Transit,Kepler,2.34,0.45,-0.45,4.822962,339.536,1.07,5696.0,1.195,0.15,634.939
Kepler-1388 b,Kepler-1388,Transit,Kepler,2.59,0.13,-0.14,12.2854603,17.674,0.63,4098.0,0.61,0.02,453.795
Kepler-258 c,Kepler-258,Transit,Kepler,3.61,2.43,-2.43,33.653079,7.985,0.82,4942.0,0.915,0.3031,575.988
Kepler-355 b,Kepler-355,Transit,Kepler,1.46,0.66,-0.66,11.03189,154.803,0.933,6184.0,1.066,-0.06,1432.17
Kepler-324 e,Kepler-324,Transit,Kepler,2.03862444,,,13.97939968,38.9,0.844,5191.0,0.826,0.08,501.574
Kepler-330 b,Kepler-330,Transit,Kepler,1.35,0.53,-0.53,8.25978,66.578,0.848,5117.0,0.722,0.16,717.527
Kepler-233 c,Kepler-233,Transit,Kepler,2.71,0.78,-0.78,60.418955,6.195,0.855,5360.0,0.758,-0.09,856.417
Kepler-174 d,Kepler-174,Transit,Kepler,2.19,0.13,-0.13,247.35373,0.53,0.602,4880.0,0.622,-0.56,384.757
Kepler-200 c,Kepler-200,Transit,Kepler,1.59,0.29,-0.29,10.222157,126.361,0.972,5678.0,0.944,-0.006,665.912
Kepler-130 d,Kepler-130,Transit,Kepler,1.64,0.16,-0.16,87.517905,9.834,0.927,5884.0,1.127,-0.199,316.663
Kepler-541 b,Kepler-541,Transit,Kepler,3.36,0.58,-0.56,5.08005848,1452.904,1.41,6166.0,2.06,0.07,1060.68
Kepler-1585 b,Kepler-1585,Transit,Kepler,1.79,0.25,-0.16,3.5827463,182.941,0.94,5538.0,0.91,0.08,944.465
Kepler-1275 b,Kepler-1275,Transit,Kepler,1.48,0.65,-0.27,3.65691115,822.484,1.23,6296.0,1.36,0.04,1153.98
Kepler-60 d,Kepler-60,Transit,Kepler,1.99,0.16,-0.16,11.8981,161.0,1.041,5905.0,1.257,-0.09,1025.1
Kepler-1176 b,Kepler-1176,Transit,Kepler,2.45,0.63,-0.32,24.1738579,26.087,1.01,5844.0,1.02,-0.01,864.699
Kepler-1225 b,Kepler-1225,Transit,Kepler,1.82,0.61,-0.24,7.01075434,324.282,1.13,6140.0,1.19,0.01,1347.52
Kepler-1394 b,Kepler-1394,Transit,Kepler,1.39,0.2,-0.22,3.93766373,2023.005,1.64,6481.0,2.55,0.06,640.409
Kepler-1649 b,Kepler-1649,Transit,Kepler,1.017,0.051,-0.051,8.689099,2.208,0.1977,3240.0,0.2317,-0.15,92.1913
TOI-1246 c,TOI-1246,Transit,Transiting Exoplanet Survey Satellite (TESS),2.45109846,0.13824169,-0.08751012,5.904137,129.0,0.8889,5213.0,0.8649,0.168,169.422
Kepler-1468 c,Kepler-1468,Transit,Kepler,1.15,0.25,-0.13,3.54553021,1479.567,1.04,5893.0,1.05,0.03,1899.24
Kepler-326 c,Kepler-326,Transit,Kepler,1.4,0.1,-0.1,4.580358,303.62,0.91,5105.0,0.801,0.2385,487.675
Kepler-1085 c,Kepler-1085,Transit,Kepler,3.26817741,,,56.7771,11.8,1.05,5816.0,1.0783,0.22,1364.53
Kepler-1229 b,Kepler-1229,Transit,Kepler,1.4,0.11,-0.13,86.828989,0.524,0.54,3784.0,0.51,-0.06,265.482
Kepler-1542 e,Kepler-1542,Transit,Kepler,0.76,0.1,-0.08,5.10115756,369.999,0.94,5564.0,0.99,0.06,399.114
Kepler-1178 b,Kepler-1178,Transit,Kepler,1.07,0.06,-0.08,31.80634,23.237,0.8,4990.0,0.75,-0.05,482.287
K2-187 c,K2-187,Transit,K2,1.4,0.2,-0.2,2.871512,414.343,0.966999,5438.0,0.83,0.0,330.916
Kepler-1060 b,Kepler-1060,Transit,Kepler,2.38,0.45,-0.29,46.8779367,17.416,0.99,5797.0,0.99,-0.03,946.565
Kepler-990 b,Kepler-990,Transit,Kepler,2.6,0.65,-0.42,9.91723428,108.3,1.05,5948.0,1.08,0.01,802.163
Kepler-1126 b,Kepler-1126,Transit,Kepler,1.73,0.21,-0.14,108.593329,4.55,0.92,5798.0,0.93,-0.26,635.736
Kepler-100 c,Kepler-100,Transit,Kepler,2.2,0.05,-0.05,12.8159,208.657,1.08,5825.0,1.49,0.02,304.645
Kepler-172 c,Kepler-172,Transit,Kepler,2.86,0.53,-0.53,6.388996,227.225,1.081,5526.0,1.085,0.39,828.592
Kepler-663 b,Kepler-663,Transit,Kepler,2.6,0.2,-0.16,4.99678284,167.979,0.86,5264.0,0.82,0.03,1063.09
WASP-24 b,WASP-24,Transit,SuperWASP,15.46842,1.79344,-1.79344,2.34121,934.465,1.43,6075.0,1.42,0.0,322.114
WASP-151 b,WASP-151,Transit,SuperWASP-South,13.30506009,0.23538859,-0.23538859,4.5334775,460.0,1.081,5871.0,1.181,0.1,453.099
Kepler-80 g,Kepler-80,Transit,Kepler,1.13,0.14,-0.14,14.64558,,0.83,4540.0,0.678,0.04,369.451
Kepler-263 b,Kepler-263,Transit,Kepler,2.67,1.45,-1.45,16.568087,24.308,0.793,5265.0,0.785,-0.0314,754.747
K2-10 b,K2-10,Transit,K2,3.773,0.088,-0.048,19.30553,42.1,0.88,5533.0,0.956,-0.07,272.36
TOI-411 b,HD 22946,Transit,Transiting Exoplanet Survey Satellite (TESS),1.362,0.04,-0.04,4.040295,495.139,1.098,6169.0,1.117,-0.08,62.7792
WASP-120 b,WASP-120,Transit,SuperWASP,15.58048317,0.89671846,-0.89671846,3.61126721,1818.5489,1.393,6450.0,1.68443,-0.05,381.174
Kepler-1006 b,Kepler-1006,Transit,Kepler,1.54,0.27,-0.14,19.76172042,153.493,0.78,5328.0,0.74,-0.4,1081.738
Kepler-398 d,Kepler-398,Transit,Kepler,0.88,0.03,-0.04,6.83437001,40.831,0.72,4557.0,0.67,-0.06,177.355
TOI-5335 b,TOI-5335,Transit,Transiting Exoplanet Survey Satellite (TESS),4.02422162,0.84491911,-0.55064827,3.61365988443,200.83,0.945,5528.92,0.916633,,331.289
Kepler-78 b,Kepler-78,Transit,Kepler,1.201,0.028,-0.028,0.35500745,4070.0,0.779,5058.0,0.7475,-0.18,124.376
Kepler-253 d,Kepler-253,Transit,Kepler,3.17,1.3,-1.3,18.119869,24.084,0.86,5208.0,0.786,0.15,838.595
K2-62 b,K2-62,Transit,K2,2.02,0.17,-0.06,6.67199,46.7,0.67,4455.0,0.696,-0.1,112.467
Kepler-369 b,Kepler-369,Transit,Kepler,1.13,0.06,-0.06,2.732756,40.295,0.5,3591.0,0.471,-0.09,214.0
Kepler-657 b,Kepler-657,Transit,Kepler,3.52,0.69,-0.32,24.54350418,62.2,1.01,5808.0,1.01,0.03,1691.88
Kepler-513 b,Kepler-513,Transit,Kepler,2.2,0.31,-0.2,28.86235584,36.527,1.02,5849.0,1.06,-0.01,468.258
TOI-1180 b,TOI-1180,Transit,Transiting Exoplanet Survey Satellite (TESS),3.072,0.27,-0.243,9.686760378,36.97,0.75,4738.0,0.73,0.067,72.0238
Kepler-1390 b,Kepler-1390,Transit,Kepler,1.18,0.25,-0.13,6.48021673,171.133,0.98,5753.0,0.98,-0.01,723.431
WASP-60 b,WASP-60,Transit,SuperWASP,9.86392,1.34508,-1.34508,4.305,925.4935,1.19,5900.0,1.17,-0.04,431.052
Kepler-1762 b,Kepler-1762,Transit,Kepler,2.76022913,,,29.53910065,61.49,1.298,6572.0,1.238,0.07,1663.74
Kepler-98 b,Kepler-98,Transit,Kepler,1.99,0.22,-0.22,1.54168,1107.389,0.99,5539.0,1.11,0.18,350.315
Kepler-403 c,Kepler-403,Transit,Kepler,1.75,0.32,-0.32,54.280749,45.154,1.299,6090.0,1.329,0.079,840.269
Kepler-292 b,Kepler-292,Transit,Kepler,1.32,0.14,-0.14,2.580827,394.301,0.865,5299.0,0.826,0.04,1056.48
K2-49 b,K2-49,Transit,K2,1.93,0.53,-0.53,2.77065,59.0,0.51,4175.0,0.45,,457.125
TOI-1452 b,TOI-1452,Transit,Transiting Exoplanet Survey Satellite (TESS),1.672,0.071,-0.071,11.06201,1.8,0.249,3185.0,0.275,-0.07,30.5212
Kepler-110 b,Kepler-110,Transit,Kepler,1.83,0.36,-0.36,12.691112,153.881,0.989,5960.0,1.149,-0.1498,586.531
Kepler-1296 b,Kepler-1296,Transit,Kepler,0.91,0.09,-0.06,8.3839865,399.015,0.87,5359.0,0.83,-0.04,1551.54
Kepler-1221 b,Kepler-1221,Transit,Kepler,1.88,0.3,-0.16,12.00096042,37.81,0.87,5194.0,0.82,0.09,913.65
Kepler-158 d,Kepler-158,Transit,Kepler,0.43,0.05,-0.05,0.645088,,0.656,4895.97,0.668,-0.3,315.177
Kepler-49 b,Kepler-49,Transit,Kepler,2.579,0.087,-0.086,7.2,21.481,0.607,4095.6,0.618,0.03,311.222
TOI-1295 b,TOI-1295,Transit,Transiting Exoplanet Survey Satellite (TESS),15.69257298,0.89671846,-0.89671846,3.1968838,1800.0,1.38,6280.0,1.7,0.26,388.227
Kepler-1691 b,Kepler-1691,Transit,Kepler,1.83470985,,,3.8482,641.53,1.11,6000.0,1.13152,0.16,1267.67
Kepler-180 c,Kepler-180,Transit,Kepler,3.01,1.34,-1.34,41.885775,16.423,0.95,5731.0,1.063,0.03,695.65
HATS-33 b,HATS-33,Transit,HATSouth,13.78707,1.255408,-0.907929,2.5495551,757.1284,1.062,5659.0,1.022,0.29,248.46
K2-254 c,K2-254,Transit,K2,2.19,0.24,-0.18,12.11839,17.6668,0.71,4629.0,0.67,-0.14,227.775
CoRoT-20 b,CoRoT-20,Transit,CoRoT,9.41556,0.44836,-0.44836,9.24285,180.8704,1.14,5880.0,1.02,0.14,844.061
Kepler-162 c,Kepler-162,Transit,Kepler,3.03,1.63,-1.63,19.446355,77.052,1.053,5816.0,0.958,0.1,855.641
K2-248 b,K2-248,Transit,K2,2.57,0.2,-0.14,7.17256,132.3323,0.88,5528.0,0.92,-0.1,406.254
Kepler-1252 b,Kepler-1252,Transit,Kepler,1.67,0.42,-0.23,15.0540329,57.579,1.06,5949.0,1.09,0.03,648.979
WASP-35 b,WASP-35,Transit,SuperWASP,14.5717,0.78463,-0.78463,3.16158,758.1026,1.05,5990.0,1.08,-0.15,202.218
Kepler-300 c,Kepler-300,Transit,Kepler,2.25,1.04,-1.04,40.714955,43.248,1.07,5986.0,0.9,0.04,1098.45
Kepler-787 b,Kepler-787,Transit,Kepler,1.28,0.06,-0.07,0.928310498,493.553,0.65,4248.0,0.62,-0.09,503.568
WASP-150 b,WASP-150,Transit,SuperWASP-North,11.99363,0.269016,-0.280225,5.644207,854.7074,1.394,6218.0,1.651,0.156,527.995
NGTS-12 b,NGTS-12,Transit,Next-Generation Transit Survey (NGTS),11.747032,0.358688,-0.358688,7.532806,416.0,1.021,5690.0,1.589,-0.03,446.442
Kepler-493 b,Kepler-493,Transit,Kepler,15.13,5.0,-2.55,3.003876581,1414.329,1.36,6457.0,1.54,0.11,1745.77
TOI-4155 b,TOI-4155,Transit,Transiting Exoplanet Survey Satellite (TESS),3.21,0.17,-0.17,3.320729,586.762,1.16,5724.0,0.95,0.11,240.737
HATS-28 b,HATS-28,Transit,HATSouth,13.383546,0.78463,-0.78463,3.1810781,407.8485,0.929,5498.0,0.922,0.01,535.383
Kepler-214 c,Kepler-214,Transit,Kepler,2.13,0.4,-0.4,28.7798,87.244,1.11,6169.0,1.352,-0.02,1208.44
Kepler-385 b,Kepler-385,Transit,Kepler,2.73,1.38,-1.38,10.043686,143.919,0.992,6326.0,1.126,0.01,1432.61
TOI-2120 b,TOI-2120,Transit,Transiting Exoplanet Survey Satellite (TESS),2.122,0.065,-0.065,5.7998164,3.61,0.211,3131.0,0.245,0.39,32.1755
Kepler-1257 b,Kepler-1257,Transit,Kepler,1.52,0.18,-0.12,2.668313762,546.908,0.9,5502.0,0.87,-0.09,1105.95
Kepler-1744 b,Kepler-1744,Transit,Kepler,3.76754004,,,37.10110092,21.0,0.886,5986.0,0.85,-0.5,1091.63
Kepler-901 b,Kepler-901,Transit,Kepler,1.37,0.07,-0.06,3.517494394,68.723,0.59,4184.0,0.57,-0.3,253.867
Kepler-298 b,Kepler-298,Transit,Kepler,1.96,0.1,-0.1,10.475464,24.707,0.66,4465.0,0.582,-0.21,518.204
Kepler-143 c,Kepler-143,Transit,Kepler,3.37,0.84,-0.84,27.082511,58.7,0.982,5848.0,1.359,-0.01,809.467
Kepler-808 b,Kepler-808,Transit,Kepler,1.46,0.06,-0.08,0.631332353,1428.3,0.76,4653.0,0.71,0.05,321.0
Kepler-885 b,Kepler-885,Transit,Kepler,2.5,0.4,-0.39,18.11472949,124.646,1.21,6187.0,1.35,0.11,651.318
Kepler-151 c,Kepler-151,Transit,Kepler,2.09,1.04,-1.04,24.674612,21.407,0.87,5460.0,0.83,0.1245,649.919
Kepler-923 b,Kepler-923,Transit,Kepler,1.38,0.29,-0.19,6.93366476,390.636,1.11,5988.0,1.26,0.07,1000.28
Kepler-191 c,Kepler-191,Transit,Kepler,1.86,0.92,-0.92,17.738506,23.2,0.857,5282.0,0.789,0.13,594.464
K2-247 c,K2-247,Transit,K2,2.19,0.25,-0.23,6.49424,34.7304,0.74,4667.0,0.69,-0.08,258.113
K2-322 b,K2-322,Transit,K2,1.92,0.29,-0.18,8.205,25.9048,0.63,4141.0,0.602,,123.415
HATS-44 b,HATS-44,Transit,HATSouth,11.960003,1.401125,-0.795839,2.7439004,306.417,0.86,5080.0,0.847,0.32,446.035
K2-352 c,K2-352,Transit,K2,1.92,0.13,-0.07,8.234885,,0.98,5791.0,0.95,-0.05,176.051
TOI-1408 c,TOI-1408,Transit Timing Variations,Transiting Exoplanet Survey Satellite (TESS),2.22,0.06,-0.06,2.1664,2005.35,1.312,6117.0,1.53,0.25,139.484
Kepler-1460 b,Kepler-1460,Transit,Kepler,1.96,0.14,-0.13,29.9633247,5.469,0.7,4422.0,0.67,-0.02,553.218
Kepler-41 b,Kepler-41,Transit,Kepler,14.46,0.22,-0.22,1.8555582,2036.749,1.15,5750.0,1.29,0.38,1093.08
Kepler-229 d,Kepler-229,Transit,Kepler,3.85,1.38,-1.38,41.194912,6.162,0.808,5120.0,0.728,0.06,826.265
Kepler-11 b,Kepler-11,Transit,Kepler,1.8,0.03,-0.05,10.3039,146.36,0.961,5663.0,1.065,0.05,646.346
Kepler-900 b,Kepler-900,Transit,Kepler,2.08,0.12,-0.34,6.9913086,54.109,0.78,4836.0,0.73,-0.01,487.525
K2-201 c,K2-201,Transit,K2,3.28568401,0.39804812,-0.18385433,22.779878,,0.956055,5507.0,0.878161,0.13,197.932
Kepler-580 b,Kepler-580,Transit,Kepler,2.57,0.29,-0.13,8.222419656,24.063,0.67,4298.0,0.64,-0.06,323.899
Kepler-1723 b,Kepler-1723,Transit,Kepler,2.88046569,,,39.75289917,24.54,0.96,6072.0,1.01,-0.3,811.278
Kepler-163 b,Kepler-163,Transit,Kepler,1.05,0.44,-0.44,7.810937,115.612,0.882,5776.0,0.917,0.1412,689.814
Kepler-1218 b,Kepler-1218,Transit,Kepler,1.44,0.15,-0.14,22.9221266,84.83,1.06,5986.0,1.1,-0.02,840.503
HATS-57 b,HATS-57,Transit,HATSouth,12.767051,0.313852,-0.313852,2.350621,570.233,1.026,5587.0,0.96,0.268,279.485
Kepler-603 c,Kepler-603,Transit,Kepler,6.5,1.48,-0.62,127.9075774,8.8,1.01,5808.0,1.01,0.03,1539.63
K2-244 b,K2-244,Transit,K2,1.75,0.13,-0.1,21.06884,37.9007,0.86,5677.0,0.92,-0.29,212.902
EPIC 201497682 b,EPIC 201497682,Transit,K2,0.692,0.059,-0.048,2.13174,,0.78,4991.0,0.554,-0.0892,253.026
Kepler-653 c,Kepler-653,Transit,Kepler,0.78,0.13,-0.12,0.900376476,3743.275,1.02,5665.0,1.19,0.23,595.634
K2-59 c,K2-59,Transit,K2,2.3,0.29,-0.29,11.2954,38.3,0.774,5055.0,0.731,,311.313
Kepler-531 b,Kepler-531,Transit,Kepler,2.78,0.08,-0.19,29.88485741,10.007,0.78,4893.0,0.75,-0.03,252.762
KELT-3 b,KELT-3,Transit,KELT,17.48604,1.23299,-1.23299,2.70339,1704.57,1.96,6304.0,1.7,0.05,210.252
GJ 1252 b,GJ 1252,Transit,Transiting Exoplanet Survey Satellite (TESS),1.193,0.074,-0.074,0.5182331,233.0,0.381,3458.0,0.391,0.1,20.373
TOI-2379 b,TOI-2379,Transit,Transiting Exoplanet Survey Satellite (TESS),11.72459381,0.25780656,-0.25780656,5.4693827,25.3,0.645,3707.0,0.622,0.501,211.247
WASP-140 b,WASP-140,Transit,SuperWASP-South,14.23540549,0.67253884,-0.67253884,2.23598448,491.326,0.9,5300.0,0.87,0.12,117.598
K2-255 b,K2-255,Transit,K2,2.9,0.28,-0.11,1.96417,215.9107,0.71,4676.0,0.69,-0.14,191.608
Kepler-365 c,Kepler-365,Transit,Kepler,1.64,0.77,-0.77,17.784129,66.87,1.02,6012.0,1.048,-0.218,1038.99
Kepler-592 b,Kepler-592,Transit,Kepler,2.39,0.58,-0.25,2.820192408,935.827,1.04,5913.0,1.04,-0.03,1153.13
Kepler-1542 d,Kepler-1542,Transit,Kepler,0.87,0.12,-0.09,5.99273738,297.806,0.94,5564.0,0.99,0.06,399.114
Kepler-29 c,Kepler-29,Transit,Kepler,2.34,0.12,-0.11,13.28613,34.4,0.761,5378.0,0.732,-0.44,832.532
Kepler-506 b,Kepler-506,Transit,Kepler,2.73,0.06,-0.06,6.8834055,330.547,1.19,6236.0,1.19,0.09,228.439
Kepler-1814 b,Kepler-1814,Transit,Kepler,2.36961357,,,2.935359955,216.9,0.79,4922.0,0.823,0.2,726.346
Kepler-1004 b,Kepler-1004,Transit,Kepler,6.28,0.78,-0.44,5.28789787,1610.087,1.11,4972.0,3.39,-0.04,1152.68
Kepler-1911 b,Kepler-1911,Transit,Kepler,1.011,,,5.990799904,223.93,0.954,5721.0,0.972,0.0,269.912
Kepler-46 d,Kepler-46,Transit,Kepler,1.64,0.92,-0.92,6.766589,92.346,0.883,5309.0,0.79,0.17,777.06
Kepler-1548 b,Kepler-1548,Transit,Kepler,2.64,0.54,-0.21,124.828679,1.933,0.99,5706.0,0.97,0.05,872.279
WASP-61 b,WASP-61,Transit,SuperWASP,15.80469,2.46598,-2.46598,3.8559,1062.0298,1.82,6250.0,1.55,-0.1,488.66
Kepler-281 d,Kepler-281,Transit,Kepler,5.93747806,,,148.2720032,2.51,0.984,5717.0,0.884,0.0,1745.45
Kepler-1287 b,Kepler-1287,Transit,Kepler,1.54,0.22,-0.13,11.47685909,78.156,0.96,5715.0,0.94,-0.05,1003.26
Kepler-1506 b,Kepler-1506,Transit,Kepler,1.32,0.19,-0.13,14.0329154,235.807,0.95,5676.0,0.93,-0.05,2366.02
Kepler-913 b,Kepler-913,Transit,Kepler,2.06,0.08,-0.06,10.29672521,58.9,0.63,4687.0,0.61,-0.52,991.618
TOI-3160 A b,TOI-3160 A,Transit,Transiting Exoplanet Survey Satellite (TESS),13.7646283,0.51561311,-0.50440413,3.971281,933.0,1.088,6190.0,1.346,-0.114,567.678
Kepler-1066 b,Kepler-1066,Transit,Kepler,2.36,0.5,-0.33,1.931559839,710.019,0.98,5762.0,0.98,-0.03,344.251
Kepler-262 c,Kepler-262,Transit,Kepler,1.64,0.68,-0.68,21.853722,25.26,0.816,5841.0,0.881,-0.3382,613.129
KOI-351 h,KOI-351,Transit,Kepler,11.252,0.306,-0.306,331.60296,1.849,1.242,6031.13,1.185,0.083,848.254
Kepler-359 d,Kepler-359,Transit,Kepler,4.01,1.91,-1.91,77.095691,5.5,0.827,6248.0,1.086,-0.29,1443.21
Kepler-859 b,Kepler-859,Transit,Kepler,3.09,0.18,-0.15,20.38177573,14.897,0.81,5020.0,0.77,-0.02,839.903
WASP-157 b,WASP-157,Transit,SuperWASP,11.19,0.28,-0.28,3.951623,482.1005,1.06,5772.0,1.1,0.25,334.037
Kepler-1333 b,Kepler-1333,Transit,Kepler,2.81,0.4,-0.25,109.6471842,3.298,0.94,5628.0,0.92,-0.04,932.446
Kepler-1120 b,Kepler-1120,Transit,Kepler,1.38,0.09,-0.07,2.949029052,206.874,0.78,4904.0,0.74,-0.04,615.231
Kepler-264 c,Kepler-264,Transit,Kepler,2.83,0.58,-0.58,140.101261,15.347,1.426,6158.0,1.55,0.0469,942.173
Kepler-1242 b,Kepler-1242,Transit,Kepler,2.26,0.13,-0.13,13.62798432,28.998,0.77,4895.0,0.74,-0.05,687.615
K2-214 b,K2-214,Transit,K2,2.51,0.14,-0.07,8.59656,238.0,1.03,5875.0,1.236,0.04,300.64
Kepler-1228 b,Kepler-1228,Transit,Kepler,1.54,0.11,-0.14,0.577369579,1598.664,0.78,5063.0,0.74,-0.18,515.453
Kepler-1501 b,Kepler-1501,Transit,Kepler,1.56,0.68,-0.25,14.5564533,100.001,1.2,6229.0,1.3,0.04,749.06
TOI-1443 b,TOI-1443,Transit,Transiting Exoplanet Survey Satellite (TESS),2.30381001,0.12697832,-0.10061016,23.540678,16.8576,0.7663,5224.0,0.7511,-0.294,85.8034
Kepler-385 c,Kepler-385,Transit,Kepler,3.04,1.56,-1.56,15.163161,83.155,0.992,6326.0,1.126,0.01,1432.61
TOI-2345 b,TOI-2345,Transit,Transiting Exoplanet Survey Satellite (TESS),1.504,0.047,-0.044,1.0528573,791.0,0.727,4687.0,0.729,-0.1,81.6541
